City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
108,mhamid,29.82,-5.72,12.91,25,90,1.39,MA,1707364524
109,aomori,40.8244,140.74,4.73,58,75,6.26,JP,1707364524
110,burang,30.25,81.1667,-8.53,53,11,3.72,CN,1707364525
111,yuzhno-kurilsk,44.0306,145.8556,-3.02,71,100,4.69,RU,1707364525
112,quellon,-43.1167,-73.6167,9.6,89,29,1.45,CL,1707364525
113,pudasjarvi,65.3833,26.9167,-27.38,100,99,1.91,FI,1707364525
114,puerto natales,-51.7236,-72.4875,8.34,81,79,6.47,CL,1707364525
115,luderitz,-26.6481,15.1594,17.71,74,94,4.87,NA,1707364525
116,east london,-33.0153,27.9116,20.52,60,0,4.63,ZA,1707364525
117,camana,-16.6228,-72.7111,24.67,86,74,0.97,PE,1707364525
118,vorkuta,67.5,64.0,-6.45,88,100,5.01,RU,1707364526
119,atafu village,-8.5421,-172.5159,28.66,78,100,7.52,TK,1707364526
120,skeldon,5.8833,-57.1333,25.47,84,8,4.14,GY,1707364526
121,aykhal,66.0,111.5,-22.84,97,100,1.86,RU,1707364526
122,petropavlovsk-kamchatsky,53.0452,158.6483,-5.67,80,75,2.0,RU,1707364497
123,st ives,50.2086,-5.4875,13.93,91,100,9.58,GB,1707364526
124,mersa matruh,31.3525,27.2453,10.11,93,0,0.0,EG,1707364526
125,saldanha,-33.0117,17.9442,17.03,85,13,3.75,ZA,1707364526
126,kristiansund,63.1115,7.732,-3.64,86,100,1.54,NO,1707364527
127,queenstown,-31.8976,26.8753,12.5,93,48,1.28,ZA,1707364527
128,yondo,7.0062,-73.9097,23.21,98,100,0.75,CO,1707364527
129,mojo,8.6,39.1167,15.47,88,45,2.17,ET,1707364527
130,hadibu,12.65,54.0333,25.69,68,100,5.81,YE,1707364527
131,isla aguada,18.7833,-91.4667,21.48,68,0,5.67,MX,1707364527
132,bikenibeu village,1.3673,173.1241,30.98,74,75,6.17,KI,1707364516
133,richards bay,-28.783,32.0377,24.0,81,81,3.75,ZA,1707364527
134,bathsheba,13.2167,-59.5167,27.34,83,20,6.69,BB,1707364528
135,mount isa,-20.7333,139.5,29.87,54,100,4.12,AU,1707364528
136,illizi,26.4833,8.4667,8.89,34,1,1.47,DZ,1707364528
137,norderney,53.7,7.15,3.34,67,100,4.78,DE,1707364528
138,cabedelo,-6.9811,-34.8339,28.37,81,96,3.93,BR,1707364528
139,tokar,18.4254,37.729,20.82,70,27,2.97,SD,1707364529
140,san julian,21.0167,-102.1667,15.88,26,84,2.22,MX,1707364529
141,dzuunharaa,48.8523,106.4579,-15.23,83,60,0.5,MN,1707364529
142,vilyuysk,63.7553,121.6247,-30.96,95,75,1.44,RU,1707364529
143,chonchi,-42.6128,-73.8092,10.73,97,44,0.85,CL,1707364529
144,puerto ayora,-0.7393,-90.3518,26.98,94,98,1.34,EC,1707364529
145,codrington,-38.2667,141.9667,19.66,53,0,5.81,AU,1707364529
146,fortuna,40.5982,-124.1573,6.48,95,0,0.0,US,1707364529
147,bredasdorp,-34.5322,20.0403,17.39,80,55,2.72,ZA,1707364530
148,belmonte,-15.8631,-38.8828,25.68,86,96,2.77,BR,1707364530
149,penzance,50.1186,-5.5371,14.31,93,100,9.93,GB,1707364530
150,susuman,62.7833,148.1667,-27.79,98,95,0.45,RU,1707364530
151,bhalki,18.0333,77.2167,26.22,33,20,4.73,IN,1707364531
152,nar'yan-mar,67.6713,53.087,-17.16,96,100,5.81,RU,1707364531
153,daru,-9.0763,143.2092,30.32,65,100,3.0,PG,1707364531
154,weno,7.4515,151.8468,30.97,66,75,5.14,FM,1707364531
155,alofi,-19.0595,-169.9187,30.94,66,75,3.6,NU,1707364531
156,raja,8.4596,25.678,18.4,25,50,1.92,SS,1707364531
157,preobrazheniye,42.9019,133.9064,-1.73,39,0,2.05,RU,1707364531
158,byala slatina,43.4667,23.9333,4.78,65,100,2.54,BG,1707364531
159,vila franca do campo,37.7167,-25.4333,18.27,99,85,8.6,PT,1707364531
